Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
1;PL-2020-007335;krytyczny;31.05.2020;05.06.2020;standardowy;ma³e pude³ko;korporacja;Jadwiga Bilecka;K02238;pó³nocno-zachodni;wielkopolskie;Poznañ;61-625;Meble;Rega³y;Bush Somerset Collection Bookcase;261,96;2;0;41,9136
3;PL-2020-007619;wysoki;10.10.2020;11.10.2020;standardowy;opakowanie;osoba fizyczna;Rafa³ Bobikowski;K02882;pó³nocny;kujawsko-pomorskie;Toruñ;87-103;Artyku³y biurowe;Etykiety;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2;0;6,8714
10;PL-2020-008000;niski;21.09.2020;23.09.2020;standardowy;ma³e pude³ko;ma³a firma;Micha³ Dertucha;K01733;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Artyku³y biurowe;Urz¹dzenia;Belkin F5C206VTEL 6 Outlet Surge;114,9;5;0;34,47
11;PL-2020-008000;nieokreœlony;21.09.2020;23.09.2020;standardowy;ma³e pude³ko;ma³a firma;Robert Dido;K01733;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Meble;Sto³y;Chromcraft Rectangular Conference Tables;1706,184;9;0,2;85,3092
12;PL-2020-008001;krytyczny;21.11.2020;23.11.2020;standardowy;worek;osoba fizyczna;Micha³ Dindo;K00640;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-222;Technologia;Telefony;Konftel 250 Conference phone - Charcoal black;911,424;4;0,2;68,3568
13;PL-2020-008001;œredni;21.11.2020;23.11.2020;standardowy;ma³e pude³ko;osoba fizyczna;Rafa³ Dobek;K00640;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-222;Artyku³y biurowe;Papier;Xerox 1967;15,552;3;0,2;5,4432
14;PL-2020-008131;krytyczny;05.05.2020;05.05.2020;standardowy;opakowanie;biuro;Andrzej Drozda;K01488;centralny;mazowieckie;Warszawa;00-696;Artyku³y biurowe;Segregatory;Fellowes PB200 Plastic Comb Binding Machine;407,976;3;0,2;132,5922
16;PL-2020-000738;krytyczny;03.03.2020;05.03.2020;standardowy;ma³e pude³ko;korporacja;Robert Dwernik;K00607;centralny;mazowieckie;Warszawa;00-166;Artyku³y biurowe;Segregatory;Storex DuraTech Recycled Plastic Frosted Binders;2,544;3;0,8;-3,816
20;PL-2020-000738;œredni;03.03.2020;04.03.2020;standardowy;ma³e pude³ko;korporacja;Kalina Filecka;K00607;centralny;mazowieckie;Warszawa;00-166;Technologia;Telefony;Cisco SPA 501G IP Phone;213,48;3;0,2;16,011
25;PL-2020-000773;nieokreœlony;27.09.2020;28.09.2020;standardowy;ma³e pude³ko;biuro;Barbara Fornal;K01488;centralny;mazowieckie;Warszawa;00-696;Meble;Sto³y;Bretford CR4500 Series Slim Rectangular Table;1044,63;3;0;240,2649
39;PL-2020-009895;wysoki;22.04.2020;26.04.2020;standardowy;worek;ma³a firma;Robert Jawlik;K00021;centralny;mazowieckie;Warszawa;00-668;Meble;Rega³y;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,3992;3;0,32;-46,9764
40;PL-2020-010080;nieokreœlony;14.02.2020;21.02.2020;standardowy;ma³e pude³ko;korporacja;Barbara Jelikowska;K01413;po³udniowy;œl¹skie;Rybnik;44-207;Meble;Krzes³a;Global Fabric Manager's Chair, Dark Gray;212,058;3;0,3;-15,147
41;PL-2020-010081;œredni;09.08.2020;10.08.2020;standardowy;ma³e pude³ko;biuro;Wiktor Jobda;K02920;centralny;³ódzkie;£ódŸ;90-440;Technologia;Telefony;Plantronics HL10 Handset Lifter;371,168;4;0,2;41,7564
42;PL-2020-010147;niski;11.10.2020;12.10.2020;standardowy;ma³e pude³ko;biuro;Jadwiga Jolecka;K01630;po³udniowo-zachodni;dolnoœl¹skie;Wroc³aw;51-664;Technologia;Telefony;Panasonic Kx-TS550;147,168;4;0,2;16,5564
43;PL-2020-010247;œredni;12.01.2020;13.01.2020;standardowy;ma³e pude³ko;biuro;Wiktor Karolik;K01129;po³udniowy;œl¹skie;Rybnik;44-251;Artyku³y biurowe;Magazynowanie;Eldon Base for stackable storage shelf, platinum;77,88;2;0;3,894
