Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
7;PL-2022-007751;krytyczny;25.12.2022;26.12.2022;kolejowy;paleta;korporacja;Liliana Ciupa³a;K00181;centralny;mazowieckie;Radom;26-617;Artyku³y biurowe;Sztuka;Newell 322;7,28;4;0;1,9656
17;PL-2022-008257;wysoki;24.03.2022;24.03.2022;kolejowy;paleta;osoba fizyczna;Micha³ F¹decki;K00949;po³udniowy;ma³opolskie;Kraków;31-532;Artyku³y biurowe;Magazynowanie;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88;6;0;13,3176
19;PL-2022-008257;wysoki;24.03.2022;31.03.2022;standardowy;worek;osoba fizyczna;Jadwiga Filbrecka;K00949;po³udniowy;ma³opolskie;Kraków;31-532;Artyku³y biurowe;Sztuka;Newell 341;8,56;2;0;2,4824
21;PL-2022-008353;krytyczny;17.05.2022;19.05.2022;standardowy;opakowanie;osoba fizyczna;Jolanta Filecka;K00491;centralny;mazowieckie;Warszawa;00-346;Artyku³y biurowe;Segregatory;"Wilson Jones Hanging View Binder, White, 1""";22,72;4;0,2;7,384
26;PL-2022-008833;œredni;06.05.2022;10.05.2022;standardowy;du¿e pude³ko;ma³a firma;Rafa³ Fraczyñski;K02498;pó³nocny;kujawsko-pomorskie;Bydgoszcz;85-112;Artyku³y biurowe;Segregatory;Wilson Jones Active Use Binders;11,648;2;0,2;4,2224
33;PL-2022-009409;œredni;07.05.2022;09.05.2022;standardowy;ma³e pude³ko;biuro;Barbara Gruda;K03342;po³udniowy;œl¹skie;Ruda Œl¹ska;41-709;Artyku³y biurowe;Segregatory;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,858;6;0,7;-5,715
34;PL-2022-009476;wysoki;27.05.2022;29.05.2022;ekspresowy;ma³e pude³ko;korporacja;Zbigniew Hrubek;K02867;po³udniowy;œl¹skie;Ruda Œl¹ska;41-710;Artyku³y biurowe;Sztuka;Lumber Crayons;15,76;2;0,2;3,546
38;PL-2022-009894;krytyczny;20.03.2022;22.03.2022;kolejowy;paleta;ma³a firma;Stefan Janicki;K01193;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Artyku³y biurowe;Koperty;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,328;9;0,2;35,415
48;PL-2022-010435;nieokreœlony;12.08.2022;13.08.2022;standardowy;opakowanie;korporacja;Micha³ Komor;K01280;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-615;Technologia;Akcesoria;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0;4,95
50;PL-2022-010470;œredni;06.05.2022;11.05.2022;standardowy;ma³e pude³ko;korporacja;Tadeusz Komorna;K01959;po³udniowy;œl¹skie;Jastrzêbie-Zdrój;44-330;Artyku³y biurowe;Segregatory;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38,22;6;0;17,9634
