Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
2;PL-2019-007364;niski;10.05.2019;12.05.2019;standardowy;ma³e pude³ko;korporacja;Robert Bobekowski;K02189;centralny;mazowieckie;Warszawa;00-324;Meble;Krzes³a;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731,94;3;0;219,582
4;PL-2019-007623;nieokreœlony;30.10.2019;01.11.2019;standardowy;du¿e pude³ko;korporacja;Rafa³ Brobek;K03011;po³udniowy;œl¹skie;Rybnik;44-207;Meble;Sto³y;Bretford CR4500 Series Slim Rectangular Table;957,5775;5;0,45;-383,031
5;PL-2019-007623;nieokreœlony;30.10.2019;01.11.2019;standardowy;ma³e pude³ko;korporacja;Boles³aw Bryñski;K03011;po³udniowy;œl¹skie;Rybnik;44-207;Artyku³y biurowe;Magazynowanie;Eldon Fold 'N Roll Cart System;22,368;2;0,2;2,5164
6;PL-2019-007623;nieokreœlony;30.10.2019;31.10.2019;standardowy;ma³e pude³ko;korporacja;Jadwiga Chrilecka;K03011;po³udniowy;œl¹skie;Rybnik;44-207;Meble;Umeblowanie;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48,86;7;0;14,1694
8;PL-2019-000646;krytyczny;23.11.2019;24.11.2019;standardowy;opakowanie;ma³a firma;Katarzyna Dawro;K01106;wschodni;lubelskie;Lublin;20-240;Technologia;Telefony;Mitel 5320 IP Phone VoIP phone;907,152;6;0,2;90,7152
9;PL-2019-007909;wysoki;05.01.2019;06.01.2019;standardowy;worek;biuro;Jadwiga Derilecka;K00117;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-183;Artyku³y biurowe;Segregatory;DXL Angle-View Binders with Locking Rings by Samsill;18,504;3;0,2;5,7825
15;PL-2019-008165;nieokreœlony;17.10.2019;26.10.2019;standardowy;ma³e pude³ko;korporacja;Wiktor Dudziak;K00553;po³udniowy;ma³opolskie;Kraków;31-012;Artyku³y biurowe;Urz¹dzenia;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81;5;0,8;-123,858
18;PL-2019-008257;nieokreœlony;24.03.2019;28.03.2019;standardowy;ma³e pude³ko;osoba fizyczna;Barbara Fibiana;K00949;po³udniowy;ma³opolskie;Kraków;31-532;Artyku³y biurowe;Magazynowanie;Fellowes Super Stor/Drawer;55,5;2;0;9,99
22;PL-2019-008353;nieokreœlony;17.05.2019;19.05.2019;standardowy;worek;osoba fizyczna;Jadwiga Filoecka;K00491;centralny;mazowieckie;Warszawa;00-346;Artyku³y biurowe;Sztuka;Newell 318;19,46;7;0;5,0596
27;PL-2019-008994;wysoki;09.04.2019;11.04.2019;standardowy;ma³e pude³ko;korporacja;Jadwiga Fulecka;K00698;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-464;Technologia;Akcesoria;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57;3;0;11,7741
30;PL-2019-009285;niski;04.01.2019;06.01.2019;standardowy;ma³e pude³ko;osoba fizyczna;Zbigniew Grawik;K00949;po³udniowy;ma³opolskie;Kraków;31-532;Meble;Umeblowanie;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2;3;0,2;15,525
35;PL-2019-009606;nieokreœlony;29.07.2019;29.07.2019;standardowy;ma³e pude³ko;ma³a firma;Wiktor Hryczyñski;K00898;centralny;mazowieckie;Warszawa;00-680;Artyku³y biurowe;Papier;Easy-staple paper;29,472;3;0,2;9,9468
